part_id,part_name,unit_cost_usd,initial_stock,reorder_level,primary_supplier_id
PART_0087,Gasket Set,163.0,56,14,SUP_0091
PART_0088,Relay Module,795.65,6,4,SUP_0378
PART_0089,Control Fuse,833.55,55,8,SUP_0411
PART_0090,Lubricant Pack,609.52,52,14,SUP_0128
PART_0091,Compressor Seal Kit,254.79,55,13,SUP_0056
PART_0092,Cooling Fan,356.64,7,15,SUP_0241
PART_0093,Motor Bearing,215.74,57,9,SUP_0180
PART_0094,Pressure Valve,288.57,55,15,SUP_0117
PART_0095,Coupling Seal,216.17,47,5,SUP_0205
PART_0096,Oil Filter,308.87,60,3,SUP_0496
PART_0097,Dryer Valve Assembly,700.53,27,12,SUP_0261
PART_0098,Pressure Switch,371.72,58,10,SUP_0170
PART_0099,Air Filter,846.53,12,6,SUP_0092
PART_0100,Drive Belt,530.92,21,2,SUP_0056
PART_0101,Temperature Sensor,544.98,27,13,SUP_0403
PART_0102,Current Sensor,296.04,43,10,SUP_0060
PART_0103,Hose Assembly,358.97,41,5,SUP_0131
PART_0104,Solenoid Valve,59.06,32,2,SUP_0267
PART_0105,Gasket Set,834.51,39,12,SUP_0369
PART_0106,Relay Module,847.43,52,12,SUP_0101
PART_0107,Control Fuse,340.51,9,12,SUP_0472
PART_0108,Lubricant Pack,310.58,25,12,SUP_0435
PART_0109,Compressor Seal Kit,129.67,24,10,SUP_0159
PART_0110,Cooling Fan,606.87,25,8,SUP_0357
PART_0111,Motor Bearing,280.18,13,5,SUP_0216
PART_0112,Pressure Valve,605.14,29,12,SUP_0384
PART_0113,Coupling Seal,814.47,44,11,SUP_0155
PART_0114,Oil Filter,377.35,58,2,SUP_0156
PART_0115,Dryer Valve Assembly,272.48,32,14,SUP_0297
PART_0116,Pressure Switch,553.86,25,9,SUP_0227
PART_0117,Air Filter,409.1,18,10,SUP_0243
PART_0118,Drive Belt,718.49,55,13,SUP_0087
PART_0119,Temperature Sensor,599.79,23,10,SUP_0340
PART_0120,Current Sensor,576.99,26,3,SUP_0420
PART_0121,Hose Assembly,857.76,20,12,SUP_0159
PART_0122,Solenoid Valve,217.68,17,4,SUP_0013
PART_0123,Gasket Set,60.67,35,11,SUP_0436
PART_0124,Relay Module,696.27,34,8,SUP_0454
PART_0125,Control Fuse,574.19,17,13,SUP_0357
PART_0126,Lubricant Pack,357.9,30,5,SUP_0076
PART_0127,Compressor Seal Kit,597.33,5,14,SUP_0441
PART_0128,Cooling Fan,697.64,11,14,SUP_0218
PART_0129,Motor Bearing,212.58,56,13,SUP_0266
PART_0130,Pressure Valve,428.8,40,5,SUP_0470
PART_0131,Coupling Seal,766.54,34,4,SUP_0411
PART_0132,Oil Filter,428.89,38,10,SUP_0305
PART_0133,Dryer Valve Assembly,299.22,53,9,SUP_0314
PART_0134,Pressure Switch,737.21,37,8,SUP_0426
PART_0135,Air Filter,818.03,33,4,SUP_0381
PART_0136,Drive Belt,778.12,33,6,SUP_0385
PART_0137,Temperature Sensor,237.57,45,6,SUP_0393
PART_0138,Current Sensor,704.35,36,12,SUP_0123
PART_0139,Hose Assembly,261.65,9,13,SUP_0147
PART_0140,Solenoid Valve,226.35,26,7,SUP_0458
PART_0141,Gasket Set,495.33,13,4,SUP_0119
PART_0142,Relay Module,357.07,14,13,SUP_0110
PART_0143,Control Fuse,76.52,31,7,SUP_0278
PART_0144,Lubricant Pack,430.01,8,5,SUP_0427
PART_0145,Compressor Seal Kit,389.73,54,11,SUP_0485
PART_0146,Cooling Fan,632.06,59,14,SUP_0295
PART_0147,Motor Bearing,354.74,5,7,SUP_0153
PART_0148,Pressure Valve,683.06,59,15,SUP_0215
PART_0149,Coupling Seal,493.63,52,10,SUP_0410
PART_0150,Oil Filter,550.86,19,9,SUP_0113
PART_0151,Dryer Valve Assembly,260.18,36,2,SUP_0200
PART_0152,Pressure Switch,315.79,48,14,SUP_0208
PART_0153,Air Filter,657.28,58,9,SUP_0471
PART_0154,Drive Belt,132.31,44,10,SUP_0014
PART_0155,Temperature Sensor,818.1,42,11,SUP_0340
PART_0156,Current Sensor,43.85,46,8,SUP_0070
PART_0157,Hose Assembly,782.83,16,2,SUP_0134
PART_0158,Solenoid Valve,353.61,18,9,SUP_0168
PART_0159,Gasket Set,317.0,29,6,SUP_0386
PART_0160,Relay Module,857.06,31,6,SUP_0428
PART_0161,Control Fuse,92.08,6,13,SUP_0277
PART_0162,Lubricant Pack,65.84,27,5,SUP_0333
PART_0163,Compressor Seal Kit,80.38,46,2,SUP_0387
PART_0164,Cooling Fan,47.31,20,5,SUP_0430
PART_0165,Motor Bearing,37.93,14,5,SUP_0065
PART_0166,Pressure Valve,436.73,12,11,SUP_0486
PART_0167,Coupling Seal,211.81,49,6,SUP_0393
PART_0168,Oil Filter,344.63,43,11,SUP_0494
PART_0169,Dryer Valve Assembly,678.17,12,14,SUP_0420
PART_0170,Pressure Switch,164.11,24,3,SUP_0297
PART_0171,Air Filter,42.6,24,11,SUP_0347
PART_0172,Drive Belt,819.06,29,8,SUP_0483
PART_0173,Temperature Sensor,649.21,9,11,SUP_0354
PART_0174,Current Sensor,750.9,20,3,SUP_0357
PART_0175,Hose Assembly,699.78,59,12,SUP_0308
PART_0176,Solenoid Valve,728.86,55,11,SUP_0401
PART_0177,Gasket Set,56.14,39,8,SUP_0339
PART_0178,Relay Module,346.1,37,12,SUP_0175
PART_0179,Control Fuse,31.13,31,15,SUP_0251
PART_0180,Lubricant Pack,112.87,28,12,SUP_0457
PART_0181,Compressor Seal Kit,749.26,50,4,SUP_0223
PART_0182,Cooling Fan,175.0,38,12,SUP_0139
PART_0183,Motor Bearing,562.0,39,14,SUP_0248
PART_0184,Pressure Valve,429.09,57,13,SUP_0304
PART_0185,Coupling Seal,256.19,59,5,SUP_0426
PART_0186,Oil Filter,842.47,22,9,SUP_0125
PART_0187,Dryer Valve Assembly,680.42,41,11,SUP_0343
PART_0188,Pressure Switch,353.51,6,9,SUP_0436
PART_0189,Air Filter,306.01,36,5,SUP_0182
PART_0190,Drive Belt,722.09,26,6,SUP_0451
PART_0191,Temperature Sensor,544.62,22,10,SUP_0006
PART_0192,Current Sensor,474.63,17,3,SUP_0124
PART_0193,Hose Assembly,653.67,36,10,SUP_0389
PART_0194,Solenoid Valve,231.49,35,12,SUP_0365
PART_0195,Gasket Set,451.92,55,2,SUP_0048
PART_0196,Relay Module,278.93,30,13,SUP_0125
PART_0197,Control Fuse,289.46,42,7,SUP_0243
PART_0198,Lubricant Pack,507.06,27,8,SUP_0382
PART_0199,Compressor Seal Kit,504.34,27,13,SUP_0233
PART_0200,Cooling Fan,258.41,21,5,SUP_0062
PART_0201,Motor Bearing,654.73,25,3,SUP_0381
PART_0202,Pressure Valve,491.56,53,13,SUP_0095
PART_0203,Coupling Seal,188.56,52,9,SUP_0142
PART_0204,Oil Filter,657.63,53,10,SUP_0306
PART_0205,Dryer Valve Assembly,269.04,11,15,SUP_0100
PART_0206,Pressure Switch,280.7,28,4,SUP_0155
PART_0207,Air Filter,32.45,39,4,SUP_0141
PART_0208,Drive Belt,60.05,8,10,SUP_0150
PART_0209,Temperature Sensor,633.73,13,12,SUP_0445
PART_0210,Current Sensor,682.46,11,15,SUP_0007
PART_0211,Hose Assembly,525.18,35,9,SUP_0226
PART_0212,Solenoid Valve,319.82,8,6,SUP_0482
PART_0213,Gasket Set,778.32,12,15,SUP_0034
PART_0214,Relay Module,372.62,9,11,SUP_0323
PART_0215,Control Fuse,624.08,14,4,SUP_0416
PART_0216,Lubricant Pack,515.3,24,3,SUP_0128
PART_0217,Compressor Seal Kit,124.24,53,8,SUP_0311
PART_0218,Cooling Fan,544.59,44,5,SUP_0398
PART_0219,Motor Bearing,479.86,33,9,SUP_0153
PART_0220,Pressure Valve,776.95,32,6,SUP_0292
PART_0221,Coupling Seal,566.5,44,13,SUP_0051
PART_0222,Oil Filter,853.88,18,12,SUP_0109
PART_0223,Dryer Valve Assembly,252.89,10,4,SUP_0123
PART_0224,Pressure Switch,172.96,9,4,SUP_0002
PART_0225,Air Filter,379.5,49,11,SUP_0241
PART_0226,Drive Belt,276.31,19,6,SUP_0362
PART_0227,Temperature Sensor,268.79,60,9,SUP_0037
PART_0228,Current Sensor,624.9,21,14,SUP_0406
PART_0229,Hose Assembly,570.05,47,14,SUP_0479
PART_0230,Solenoid Valve,194.08,12,10,SUP_0116
PART_0231,Gasket Set,589.92,22,15,SUP_0073
PART_0232,Relay Module,82.84,15,14,SUP_0158
PART_0233,Control Fuse,543.64,57,11,SUP_0472
PART_0234,Lubricant Pack,273.98,12,9,SUP_0353
PART_0235,Compressor Seal Kit,287.6,30,6,SUP_0257
PART_0236,Cooling Fan,495.18,33,3,SUP_0307
PART_0237,Motor Bearing,55.08,32,13,SUP_0166
PART_0238,Pressure Valve,551.27,6,3,SUP_0118
PART_0239,Coupling Seal,866.48,58,15,SUP_0295
PART_0240,Oil Filter,536.67,6,14,SUP_0345
PART_0241,Dryer Valve Assembly,742.85,41,2,SUP_0391
PART_0242,Pressure Switch,685.52,35,10,SUP_0334
PART_0243,Air Filter,409.16,22,4,SUP_0300
PART_0244,Drive Belt,403.58,57,9,SUP_0497
PART_0245,Temperature Sensor,100.29,27,8,SUP_0171
PART_0246,Current Sensor,302.53,11,15,SUP_0083
PART_0247,Hose Assembly,310.23,49,9,SUP_0148
PART_0248,Solenoid Valve,603.07,30,15,SUP_0390
PART_0249,Gasket Set,504.09,34,3,SUP_0162
PART_0250,Relay Module,242.11,12,14,SUP_0207
PART_0251,Control Fuse,781.12,57,2,SUP_0337
PART_0252,Lubricant Pack,785.04,34,8,SUP_0028
PART_0253,Compressor Seal Kit,185.07,28,11,SUP_0388
PART_0254,Cooling Fan,458.67,33,14,SUP_0027
PART_0255,Motor Bearing,199.13,40,4,SUP_0475
PART_0256,Pressure Valve,273.47,49,9,SUP_0063
PART_0257,Coupling Seal,45.41,45,11,SUP_0410
PART_0258,Oil Filter,230.58,15,6,SUP_0283
PART_0259,Dryer Valve Assembly,32.03,31,3,SUP_0116
PART_0260,Pressure Switch,893.19,12,9,SUP_0485
PART_0261,Air Filter,123.37,58,4,SUP_0256
PART_0262,Drive Belt,840.73,23,10,SUP_0362
PART_0263,Temperature Sensor,260.61,58,9,SUP_0242
PART_0264,Current Sensor,234.48,40,4,SUP_0197
PART_0265,Hose Assembly,187.74,43,10,SUP_0383
PART_0266,Solenoid Valve,793.81,60,3,SUP_0142
PART_0267,Gasket Set,699.95,59,8,SUP_0175
PART_0268,Relay Module,842.14,37,6,SUP_0421
PART_0269,Control Fuse,22.26,51,6,SUP_0429
PART_0270,Lubricant Pack,536.51,47,9,SUP_0444
PART_0271,Compressor Seal Kit,150.76,39,9,SUP_0177
PART_0272,Cooling Fan,312.55,53,10,SUP_0194
PART_0273,Motor Bearing,420.7,25,15,SUP_0097
PART_0274,Pressure Valve,883.08,20,11,SUP_0197
PART_0275,Coupling Seal,225.53,54,8,SUP_0023
PART_0276,Oil Filter,300.0,35,13,SUP_0468
PART_0277,Dryer Valve Assembly,734.04,29,12,SUP_0406
PART_0278,Pressure Switch,742.26,14,9,SUP_0494
PART_0279,Air Filter,52.58,37,11,SUP_0170
PART_0280,Drive Belt,785.34,60,15,SUP_0226
PART_0281,Temperature Sensor,107.75,34,2,SUP_0370
PART_0282,Current Sensor,146.86,60,12,SUP_0497
PART_0283,Hose Assembly,155.84,35,14,SUP_0497
PART_0284,Solenoid Valve,253.22,44,13,SUP_0204
PART_0285,Gasket Set,591.86,59,7,SUP_0437
PART_0286,Relay Module,613.43,39,8,SUP_0489
PART_0287,Control Fuse,298.66,50,14,SUP_0250
PART_0288,Lubricant Pack,787.7,7,11,SUP_0036
PART_0289,Compressor Seal Kit,226.6,48,6,SUP_0117
PART_0290,Cooling Fan,677.15,32,3,SUP_0390
PART_0291,Motor Bearing,577.7,60,3,SUP_0228
PART_0292,Pressure Valve,166.4,24,2,SUP_0024
PART_0293,Coupling Seal,305.45,8,6,SUP_0184
PART_0294,Oil Filter,349.86,14,5,SUP_0272
PART_0295,Dryer Valve Assembly,382.61,48,14,SUP_0093
PART_0296,Pressure Switch,169.59,10,11,SUP_0446
PART_0297,Air Filter,356.64,48,5,SUP_0255
PART_0298,Drive Belt,823.29,14,5,SUP_0237
PART_0299,Temperature Sensor,581.36,34,6,SUP_0342
PART_0300,Current Sensor,28.27,56,9,SUP_0462
